id	name
1	Antidote Jewel 1
2	Antipara Jewel 1
3	Pep Jewel 1
4	Steadfast Jewel 1
5	Antiblast Jewel 1
6	Def Lock Jewel 1
7	Fire Res Jewel 1
8	Water Res Jewel 1
9	Thunder Res Jewel 1
10	Ice Res Jewel 1
11	Dragon Res Jewel 1
12	Attack Jewel 1
13	Blaze Jewel 1
14	Stream Jewel 1
15	Bolt Jewel 1
16	Frost Jewel 1
17	Dragon Jewel 1
18	Venom Jewel 1
19	Expert Jewel 1
20	Sheath Jewel 1
21	Stonethrower Jewel 1
22	Enduring Jewel 1
23	Gobbler Jewel 1
24	Resistor Jewel 1
25	Vitality Jewel 1
26	Grinder Jewel 1
27	Defense Jewel 1
28	Drain Jewel 1
29	Friendship Jewel 1
30	Meowster Jewel 1
31	Crisis Jewel 1
32	Scent Jewel 1
33	Intimidator Jewel 1
34	Hungerless Jewel 1
35	Heavy Artillery Jewel 1
36	Smoke Jewel 1
37	Geology Jewel 1
38	Tip Toe Jewel 1
39	Fortitude Jewel 1
40	Specimen Jewel 1
41	Miasma Jewel 1
42	Protection Jewel 1
43	Mirewalker Jewel 1
44	Botany Jewel 1
45	Suture Jewel 1
46	Satiated Jewel 1
47	Sonorous Jewel 1
48	Maintenance Jewel 1
69	Fungiform Jewel 1
72	Trueshot Jewel 1
73	Sleep Jewel 1
74	Recovery Jewel 1
75	Paralyzer Jewel 1
76	Medicine Jewel 1
77	Ironwall Jewel 1
78	Bomber Jewel 1
79	Blast Jewel 1
80	Artillery Jewel 1
49	Critical Jewel 2
50	Flight Jewel 2
51	Slider Jewel 2
52	Tenderizer Jewel 2
53	KO Jewel 2
54	Mighty Jewel 2
55	Mighty Bow Jewel 2
56	Fast Charge Jewel 2
57	Destroyer Jewel 2
58	Elementless Jewel 2
59	Evasion Jewel 2
60	Footing Jewel 2
61	Wind Resist Jewel 2
62	Potential Jewel 2
71	Mind's Eye Jewel 2
81	Throttle Jewel 2
82	Sprinter Jewel 2
83	Shield Jewel 2
84	Sharp Jewel 2
85	Refresh Jewel 2
86	Physique Jewel 2
87	Magazine Jewel 2
88	Jumping Jewel 2
89	Furor Jewel 2
90	Flawless Jewel 2
91	Enhancer Jewel 2
92	Draw Jewel 2
94	Challenger Jewel 2
63	Earplugs Jewel 3
64	Handicraft Jewel 3
65	Poisoncoat Jewel 1
66	Brace Jewel 3
67	Paracoat Jewel 3
68	Forceshot Jewel 3
70	Spread Jewel 3
95	Sleepcoat Jewel 3
96	Release Jewel 3
97	Pierce Jewel 3
98	Dragonseal Jewel 3
99	Blastcoat Jewel 3
