id	name
225	Poison Charm
226	Attack Charm
227	Defense Charm
228	Paralysis Charm
229	Sleep Charm
230	Stun Charm
231	Windproof Charm
232	Health Charm
233	Recovery Charm
234	Fire Charm
235	Water Charm
236	Thunder Charm
237	Blaze Charm
238	Flood Charm
239	Shock Charm
240	Venom Charm
241	Immobilize Charm
242	Tranq Charm
243	KO Charm
244	Enervate Charm
245	Artillery Charm
246	Hungerless Charm
247	Ironside Charm
248	Friendship Charm
249	Extension Charm
250	Glutton's Charm
251	Blessing Charm
252	Rally Charm
253	Botany Charm
254	Geology Charm
255	Slinger Charm
256	Stealth Charm
257	Smoke Charm
258	Mirewalker Charm
259	Insect Charm
260	Intimidator Charm
261	Heavy Artillery Charm
262	Light Eater's Charm
263	Tracker Charm
264	Fortification Charm
265	Performer's Charm
266	Capacity Charm
267	Bleed Charm
268	Speed Heal Charm
269	Ice Charm
270	Blight Charm
271	Frost Charm
272	Master's Charm
273	Evasion Charm
274	Sheath Charm
275	Whetstone Charm
276	Blast Charm
277	Dragon Charm
278	Wyrmsbane Charm
279	Demolition Charm
280	Draw Charm
281	Trickshot Charm
282	Marathon Charm
283	Fitness Charm
284	Surge Charm
285	Leaping Charm
286	Bombardier Charm
287	Mushroom Charm
288	Awakening Charm
289	Handicraft Charm
290	Mud Puppy Charm
291	Trickshot Charm
292	Hunter's Life Charm
293	Procurer's Charm
294	Gatherer's Charm
295	Guard Charm
296	Earplugs Charm
297	Tremor Charm
298	Exploiter Charm
299	Focus Charm
300	Breaker Charm
301	Fury Charm
302	Grit Charm
303	Maintenance Charm
304	Power Charm
305	Challenger Charm
306	Unscathed Charm
307	Mighty Charm
308	Impact Charm
309	Miasma Charm
310	Normal Shots Charm
311	Clearmind Charm
312	Rider's Charm
313	Surveyor's Charm
314	Critical Charm
315	Invigorate Charm
316	Poison Coating Charm
317	Para Coating Charm
318	Sleep Coating Charm
319	Blast Coating Charm
320	Geomancy Charm
341	Bulwark Charm
342	Dispersal Charm
343	Fair Wind Charm
344	Gale Charm
345	Penetration Charm
346	Wyrmslayer Charm
